,LM,Adam,Grad,SciPy
0,-1.0716034530606502,-0.4363417492362949,-1.0940773771142305,-1.0941104775801234
1,-1.0908637749029342,-0.4362703526391056,-0.4363481003717395,-0.4363740793618793
2,-1.0802125108063598,-1.094100249667529,-1.0940770894095075,-1.0941104775855166
3,-1.0521128421442387,-0.4363147699237771,-0.436367642515829,-0.4363740792909869
4,-1.0876493685898354,-1.0940706708456005,-1.094077225268376,-1.0941104775051265
5,-1.0817385168115183,-1.0940164224453186,-1.0940773363357053,-1.0941104775718145
6,-1.0771140719576118,-0.4363244442503754,-0.4363411737933221,-0.4363740793572915
7,-1.0875161494681256,-1.0940993687689111,-1.09407675311807,-1.0941104775598338
8,-1.0798903373523996,-1.0940598735715266,-1.094076906938538,-1.0941104774919894
9,-1.08409018949114,-1.0940801049759292,-1.0940773642707131,-1.094110477577818
10,-1.0915852729368851,-1.0936860361556593,-0.4363485819280445,-1.094110477578318
11,-1.0856914076271846,-0.436356997676558,-0.4363409853552512,-0.43637407928180855
12,-1.0856243922050606,-1.0939805483655631,-1.0940772627651791,-1.0941104775852142
13,-1.0795976708853432,-1.0937069299855446,-1.094077269367168,-1.0941104775786985
14,-1.0877002974656058,-1.0934473023611824,-1.0940766877474155,-1.0941104773183854
15,-1.0888871371496318,-0.4362692979044779,-0.4363414786555663,-0.4363740793613569
16,-1.0734782564592862,-0.4363072422814904,-0.4363511281590424,-0.43637407923217175
17,-1.0658761146186209,-0.4362546734538443,-0.4363673376716768,-0.43637407925589855
18,-1.0888923148365155,-0.4363695246239959,-0.43635160190382094,-0.43637407902296094
19,-1.0805843517758833,-1.0940364698921807,-1.0940769653451636,-1.0941104773800667
20,-1.0779090901292467,-0.436339297663832,-0.43634162480674255,-0.4363740790447617
21,-1.082751585562083,-0.4363581146019557,-0.4363415407038061,-0.43637407936141176
22,-1.092616628368564,-0.4363653018603877,-0.3610995864562031,-0.4363740792331997
23,-1.0803781128265526,-1.0940771358098362,-1.0940771804566831,-1.0941104775797788
24,-1.0743875344319584,-1.0939882349245322,-1.0940769213020896,-1.0941104775021222
25,-1.0856080045734626,-0.4363698886862147,-0.4363580786605361,-0.43637407935809897
26,-1.0807487651382102,-1.094013077464473,-1.094076980159707,-1.094110477530503
27,-1.0843771110545597,-1.0940906374805344,-1.0940768943043837,-1.0941104775878001
28,-1.0611445126606898,-1.0937790479905003,-1.094077350320789,-0.4363740793035246
29,-1.0733264450154445,-0.43634598771508426,-0.4363508168128096,-0.4363740792499627
30,-1.0771847043763745,-1.0941100989051835,-1.0940770667823596,-1.094110477569878
31,-1.0918379700239764,-1.0913918651765058,-1.0940771307851702,-1.0941104775841108
32,-1.0620561471896202,-0.43625637191128863,-0.4363589746589602,-0.4363740793499134
33,-1.0708173374217833,-1.0940409248993737,-1.094076657643808,-1.0941104775864314
34,-1.0858481439870968,-1.094096411911289,-1.0940771541184116,-1.0941104775849189
