,BFGS,Gradient Descent,ADAM,Linear Method
0,-0.959248803303244,-0.959043304825034,-0.95852975073452,
1,-1.31621371549453,-1.3159107202460198,-1.31619732365119,-1.5843968000000002
2,-1.70342136192061,-1.70311039612153,-1.21029168238654,-1.5937648000000002
3,-1.70342097827794,-1.7031281987843,-1.70326713558002,-1.6357901
4,-0.9592488036852452,-0.958859935375962,-0.959005476699265,-1.1101773
5,-1.27871940707883,-1.27870762787209,-1.2786902583821005,-0.4117234
6,-1.21035196985302,-1.21023949283712,-1.7033937774928103,-1.6147274
7,-1.31621371539166,-1.31618100273273,-1.31612437795739,-1.6589096999999997
8,-0.7234953204459439,-0.72328954910028,-0.7234146626925141,-1.6440125
9,-1.2787165663506137,-0.673424741429039,-1.7033241229730811,-1.5565093
10,-0.9592488039002254,-0.9588506607237554,-0.9590986652655654,-1.6655965
11,-1.7034213848227289,-1.2102818336989112,-1.7033513383960914,-1.6142123
12,-1.316213715418068,-1.3160435647884698,-1.3149637414734976,-1.6600378
13,-1.2787168392459656,-1.2770811568947258,-1.278690458033614,-1.6822201
14,-0.9592488039482064,-0.8315607910538252,-1.7031051041098406,-1.6741365000000001
15,-1.7034212536964692,-1.7033889022050142,-1.7031866080076472,-1.633487
16,-1.1783500905480049,-1.177948315715596,-1.1766741552676463,-1.6510131000000001
17,-0.8467590269960024,-0.8462239205337255,-0.8467470642662179,-1.625549
18,-1.7034209428225688,-1.7032869611041113,-1.702965120384585,-0.8789399
19,-0.9592488037576417,-0.8290955301726506,-0.958829073078002,-1.2068771
20,-1.2787156778558455,-1.2782870994116142,-1.7034175365595612,-1.6863781999999998
21,-1.2787168118178505,-1.2771215781824472,-1.7033480053974976,-1.6403537
